FID IID BirthYear
1 5246 2002
1 5247 2002
1 5248 2002
1 5250 2000
1 5279 2001
1 5326 2001
1 5387 2001
1 5403 2002
1 5420 2003
1 5421 2003
1 5422 2003
1 5427 2003
1 5428 2003
1 5430 2003
1 5433 2003
1 5437 2003
1 5439 2003
1 5442 2003
1 5443 2003
1 5444 2003
1 5447 2003
1 5455 2003
1 5456 2003
1 5459 2003
1 5460 2003
1 5466 2003
1 5467 2003
1 5468 2003
1 5469 2003
1 5480 2003
1 5483 2003
1 5484 2003
1 5485 2003
1 5490 2003
1 5491 2003
1 5495 2003
1 5496 2003
1 5505 2003
1 5506 2003
1 5510 2003
1 5513 2003
1 5520 2003
1 5525 2003
1 5528 2003
1 5530 2003
1 5531 2003
1 5543 2003
1 5544 2003
1 5547 2003
1 5551 2003
1 5552 2003
1 5562 2003
1 5564 2003
1 5589 2003
1 5593 2003
1 5594 2003
1 5596 2003
1 5597 2003
1 5604 2003
1 5606 2003
1 5623 2003
1 5626 2003
1 5631 2003
1 5632 2003
1 5636 2003
1 5648 2003
1 5652 2003
1 5662 2003
1 5678 2003
1 5683 2003
1 5686 2003
1 5689 2002
1 5692 2003
1 5704 2002
1 5705 2003
1 5713 2002
1 5721 2000
1 5751 2004
1 5759 2004
1 5762 2004
1 5768 2004
1 5891 2004
1 5917 2004
1 6082 2005
1 6084 2005
1 6086 2005
1 6088 2005
1 6089 2005
1 6099 2005
1 6100 2005
1 6102 2005
1 6116 2005
1 6118 2005
1 6119 2005
1 6120 2005
1 6125 2005
1 6127 2005
1 6136 2005
1 6147 2005
1 6150 2005
1 6151 2005
1 6155 2005
1 6159 2005
1 6164 2005
1 6168 2005
1 6171 2005
1 6176 2005
1 6182 2005
1 6186 2005
1 6189 2005
1 6193 2005
1 6196 2005
1 6278 2002
1 6280 2002
1 6281 2002
1 6282 2000
1 6283 2002
1 6302 2004
1 6310 1999
1 6312 2001
1 6322 2005
1 6325 2000
1 6331 2006
1 6332 2006
1 6338 2006
1 6342 2006
1 6345 2006
1 6348 2006
1 6354 2006
1 6362 2006
1 6365 2006
1 6408 2006
1 6421 2006
1 6425 2006
1 6434 2006
1 6435 2006
1 6441 2006
1 6451 2006
1 6452 2006
1 6471 2006
1 6477 2006
1 6479 2006
1 6486 2006
1 6488 2006
1 6528 2005
1 6536 2006
1 6537 2006
1 6557 2003
1 6563 2007
1 6565 2007
1 6566 2007
1 6567 2007
1 6577 2007
1 6583 2007
1 6585 2007
1 6588 2007
1 6591 2007
1 6598 2007
1 6605 2007
1 6608 2007
1 6609 2007
1 6615 2007
1 6616 2007
1 6620 2007
1 6623 2007
1 6625 2007
1 6646 2007
1 6653 2007
1 6654 2007
1 6658 2007
1 6661 2007
1 6666 2007
1 6667 2007
1 6675 2007
1 6678 2007
1 6679 2007
1 6680 2007
1 6681 2007
1 6682 2007
1 6683 2007
1 6686 2007
1 6688 2007
1 6689 2007
1 6690 2007
1 6691 2007
1 6692 2007
1 6693 2007
1 6694 2007
1 6695 2007
1 6696 2007
1 6697 2007
1 6701 2007
1 6713 2007
1 6715 2007
1 6717 2007
1 6718 2007
1 6719 2007
1 6722 2007
1 6723 2007
1 6729 2007
1 6730 2007
1 6768 2006
1 6770 2007
1 6776 2007
1 6777 2007
1 6779 2006
1 6789 2007
1 6795 2007
1 6797 2005
1 6803 2007
1 6818 2005
1 6827 2008
1 6831 2008
1 6833 2008
1 6834 2008
1 6838 2008
1 6841 2008
1 6843 2008
1 6849 2008
1 6851 2008
1 6857 2008
1 6859 2008
1 6860 2008
1 6868 2008
1 6869 2008
1 6884 2008
1 6886 2008
1 6888 2008
1 6892 2008
1 6893 2008
1 6898 2008
1 6904 2008
1 6907 2008
1 6909 2008
1 6910 2008
1 6911 2008
1 6916 2008
1 6920 2008
1 6923 2008
1 6927 2008
1 6928 2008
1 6929 2008
1 6930 2008
1 6933 2008
1 6935 2008
1 6937 2008
1 6938 2008
1 6941 2008
1 6948 2008
1 6949 2008
1 6958 2008
1 6962 2008
1 6971 2008
1 6972 2008
1 6974 2008
1 6979 2008
1 6981 2008
1 6982 2008
1 6988 2008
1 7039 2008
1 7043 2008
1 7046 2008
1 7050 2008
1 7051 2008
1 7053 2008
1 7055 2008
1 7056 2008
1 7063 2008
1 7068 2007
1 7069 2007
1 7070 2007
1 7071 2007
1 7095 2008
1 7097 2007
1 7107 2009
1 7108 2009
1 7109 2009
1 7116 2009
1 7118 2009
1 7124 2009
1 7125 2009
1 7131 2009
1 7133 2009
1 7134 2009
1 7135 2009
1 7139 2009
1 7140 2009
1 7144 2009
1 7146 2009
1 7155 2009
1 7156 2009
1 7158 2009
1 7171 2009
1 7173 2009
1 7174 2009
1 7194 2009
1 7198 2009
1 7201 2009
1 7202 2009
1 7206 2009
1 7209 2009
1 7215 2009
1 7216 2009
1 7228 2009
1 7232 2009
1 7233 2009
1 7245 2009
1 7252 2009
1 7253 2009
1 7256 2009
1 7257 2009
1 7261 2009
1 7262 2009
1 7267 2009
1 7318 2009
1 7325 2009
1 7349 2009
1 7351 2008
1 7354 2005
1 7455 2010
1 7472 2010
1 7476 2010
1 7492 2010
1 7596 2010
1 7687 2010
1 7696 2009
1 7697 2009
1 7699 2009
1 7700 2009
1 7701 2009
1 7703 2009
1 7704 2009
1 7710 2010
1 7729 2007
1 7743 2008
1 7748 2007
1 7749 2006
1 8240 2011
1 8265 2011
1 8358 2011
1 8362 2011
1 8365 2011
1 8471 2011
1 8473 2011
1 8710 2012
1 8716 2012
1 8717 2012
1 8718 2012
1 8734 2012
1 8754 2012
1 8755 2012
1 8761 2012
1 8800 2012
1 8803 2012
1 8805 2012
1 8809 2012
1 8812 2012
1 8866 2008
1 8868 2003
1 8869 2009
1 8872 2005
1 8875 2009
1 8965 2012
1 8984 2012
1 8992 2011
1 8999 2008
1 9036 2013
1 9206 2013
1 9250 2012
1 9741 2011
1 9742 2011
1 9747 2010
1 9757 2014
1 9768 2014
1 9793 2014
1 9797 2014
1 9800 2014
1 9809 2014
1 9834 2014
1 9840 2014
1 9845 2014
1 9870 2014
1 9895 2014
1 10077 2014
1 10124 2012
1 10149 2013
1 10155 2011
1 10159 2007
1 10279 2015
1 10307 2015
1 11091 2012
