FID IID CapYear ID
1 2448 1995 2218
1 4424 2001 2223
1 3756 1999 2223
1 2202 1994 2223
1 3436 1998 2223
1 2990 1997 2223
1 1796 1992 2236
1 3512 1998 2236
1 2056 1993 2223
1 2142 1994 2236
1 3552 1998 2239
1 2824 1996 2239
1 3178 1997 2239
1 2512 1995 2239
1 1976 1993 2245
1 3553 1998 2245
1 2489 1995 2245
1 4624 2001 2245
1 1672 1992 2245
1 3175 1997 2245
1 2556 1996 2248
1 2011 1993 2236
1 1784 1992 2252
1 1989 1993 2252
1 3516 1998 2260
1 1948 1993 2260
1 2762 1996 2260
1 1639 1992 2260
1 3515 1998 2262
1 2087 1993 2262
1 3755 1999 2262
1 2423 1995 2262
1 1640 1992 2265
1 1674 1992 2270
1 1638 1992 2248
1 2447 1995 2275
1 2982 1997 2275
1 1818 1992 2276
1 2041 1993 2278
1 1819 1992 2279
1 1777 1992 2280
1 1744 1992 2282
1 1795 1992 2285
1 2172 1994 2287
1 1881 1993 2287
1 1745 1992 2287
1 1778 1992 2292
1 1927 1993 2292
1 2983 1997 2292
1 3372 1998 2292
1 1675 1992 2296
1 2327 1994 2296
1 1641 1992 2297
1 2491 1995 2297
1 2763 1996 2297
1 3176 1997 2297
1 1883 1993 2300
1 1747 1992 2300
1 1884 1993 2303
1 2173 1994 2303
1 2873 1996 2303
1 1748 1992 2303
1 2391 1995 2303
1 1820 1992 2312
1 1885 1993 2321
1 1749 1992 2321
1 1750 1992 2323
1 2428 1995 2323
1 3758 1999 2323
1 3177 1997 2323
1 1886 1993 2323
1 2236 1994 2323
1 2764 1996 2323
1 2822 1996 2337
1 1742 1992 2271
1 2517 1995 2339
1 1642 1992 2339
1 1651 1992 2340
1 7769 2003 2340
1 1693 1992 2341
1 2623 1996 2341
1 7623 2003 2341
1 7194 2002 2341
1 2312 1994 2341
1 2984 1997 2341
1 1850 1993 2341
1 2351 1995 2341
1 4564 2001 2341
1 4565 2001 2342
1 2060 1993 2342
1 1806 1992 2342
1 4094 2000 2342
1 2985 1997 2342
1 2200 1994 2342
1 3826 1999 2342
1 2859 1996 2342
1 1814 1992 2343
1 2091 1993 2343
1 1817 1992 2344
1 2502 1995 2344
1 2823 1996 2344
1 1761 1992 2349
1 1838 1993 2349
1 2170 1994 2350
1 1690 1992 2350
1 1839 1993 2350
1 1887 1993 2351
1 1740 1992 2351
1 2174 1994 2352
1 1689 1992 2352
1 2986 1997 2352
1 2872 1996 2352
1 1851 1993 2352
1 2364 1995 2352
1 3435 1998 2352
1 1852 1993 2353
